,,,,,,
Keywords,Volume,Initial (3rd July),Target (D),Target (M),,
5 star hotels in goa,14800,5,4,3.2,,
5 star hotels in mumbai,12100,5.3,4.5,3.8,,
5 star hotels in bangalore,12100,5,4.3,3.6,,
5 star hotels in jaipur,9900,4.6,3.9,3.3,,
5 star hotels in kolkata,8100,6.8,5.8,4.9,,
5 star hotels in pune,8100,6,5.1,4.3,,
5 star hotels in hyderabad,6600,5.1,4.3,3.7,,
5 star hotels in chennai,6600,5,4,3.2,,
5 star hotels in udaipur,5400,5.3,4.2,3.4,,
5 star hotels in agra,4400,6.5,5.5,4.7,,
5 star hotels in ahmedabad,3600,4.5,3.8,3.3,,
5 star hotels in lucknow,4400,4.5,3.8,3.3,,
5 star hotels in lonavala,2900,4.1,3.5,3,,
5 star hotels in guwahati,2400,4.5,3.8,3.3,,
resorts in lonavala,49500,6.7,5.4,4.3,,
resorts in goa,27100,3.8,3,2.4,,
resorts in coorg,22200,6.9,5.5,4.4,,
resorts in wayanad,18100,3,2.4,1.9,,
resorts in hyderabad,22200,8.3,6.6,5.3,,
resorts in ooty,14800,6.1,4.9,3.9,,
resorts in munnar,12100,20,16,12.8,,
resorts in jaipur,18100,13.3,10.6,8.5,,
resorts in udaipur,18100,11,8.8,7,,
resorts in kodaikanal,12100,6.9,5.5,4.4,,
hotels,1500000,2,2,2,,
book hotels online,14800,3,3,3,,
hotel booking,49000,4,3,3,,
online hotels booking,14800,5,4,4,,
hotels near me,450000,12,8,8,,
hotels in goa,135000,11,8.25,8.25,,
hotels in puri,74000,5,3.75,3.75,,
hotels in mahabaleshwar,60500,5,3.75,3.75,,
hotels in jaipur,60500,12,9,9,,
hotels in ooty,60500,7,5.25,5.25,,
hotels in udaipur,60500,13,9.75,9.75,,
hotels in mumbai,60500,12,9,9,,
pondicherry hotels,49500,2,1.5,1.5,,
hotels in pondicherry,49500,3,2.25,2.25,,
hotels in nainital,49500,6,4.5,4.5,,
hotels in shimla,49500,13,9.75,9.75,,
hotels in manali,49500,12,9,9,,
hotels in lonavala,49500,12,9,9,,
hotels in digha,49500,11,8.25,8.25,,
hotels in mussoorie,49500,6,4.5,4.5,,
hotels in matheran,40500,6,4.5,4.5,,
hotels in darjeeling,40500,6,4.5,4.5,,