Keywords,Search Volume,Initial Ranking (D),Tajawal Ranking,Target,Target (D),Initial Ranking (M),,,
emirates,368000,12,100,Improve by 30%,8.4,11,100,Improve by 30%,7.7
air india express,368000,3,4,Improve by 30%,2.1,3,4,Improve by 30%,2.1
air arabia,368000,2,5,Improve by 30%,1.4,2,5,Improve by 30%,1.4
flydubai,301000,2,100,Improve by 30%,1.4,2,43,Improve by 30%,1.4
emirates airline,246000,3,12,Improve by 30%,2.1,2,12,Improve by 30%,1.4
emirates airlines,246000,3,11,Improve by 30%,2.1,2,11,Improve by 30%,1.4
air india,165000,3,6,Improve by 30%,2.1,3,5,Improve by 30%,2.1
etihad airways,135000,4,100,Improve by 30%,2.8,7,100,Improve by 30%,4.9
etihad,135000,16,100,Improve by 30%,11.2,14,100,Improve by 30%,9.8
etihad airline,135000,5,100,Improve by 30%,3.5,5,100,Improve by 30%,3.5
air blue,110000,2,4,Improve by 30%,1.4,2,4,Improve by 30%,1.4
cebu pacific,110000,16,52,Improve by 20%,11.2,12,100,Improve by 30%,8.4
emirates flights,27100,3,12,Improve by 30%,2.1,3,100,Improve by 30%,2.1
fly emirates,22200,8,5,Improve by 30%,5.6,3,4,Improve by 30%,2.1
air arabia flights,22200,9,11,Improve by 30%,6.3,7,8,Improve by 30%,4.9
pia airline,12100,16,3,Improve by 30%,11.2,16,3,Improve by 30%,11.2
pia flights,5400,24,3,Improve by 30%,16.8,27,4,Improve by 30%,18.9
air india flight,4400,2,12,Improve by 30%,1.4,2,12,Improve by 30%,1.4
cebu pacific air,2900,19,100,Improve by 30%,13.3,18,100,Improve by 30%,12.6
air blue airline,1900,2,4,Improve by 30%,1.4,2,4,Improve by 30%,1.4
air arabia airline,1000,2,3,Improve by 30%,1.4,2,5,Improve by 30%,1.4